,default,student,balance,income
1,No,No,729.5265,44361.625
2,No,Yes,817.18041,12106.135
3,No,No,1073.54916,31767.139
4,No,No,529.2506,35704.494
5,No,No,785.65588,38463.496
6,No,Yes,919.58853,7491.559
7,No,No,825.51333,24905.227
8,No,Yes,808.6675,17600.451
9,No,No,1161.05785,37468.529
10,No,No,0,29275.268
11,No,Yes,0,21871.073
12,No,Yes,1220.58375,13268.562
13,No,No,237.04511,28251.695
14,No,No,606.74234,44994.556
15,No,No,1112.9684,23810.174
16,No,No,286.23256,45042.413
17,No,No,0,50265.312
18,No,Yes,527.54018,17636.54
19,No,No,485.93686,61566.106
20,No,No,1095.07274,26464.631
21,No,No,228.95255,50500.182
22,No,No,954.26179,32457.509
23,No,No,1055.9566,51317.883
24,No,No,641.98439,30466.103
25,No,No,773.21172,34353.314
26,No,No,855.00852,25211.332
27,No,No,642.99974,41473.512
28,No,No,1454.86327,32189.095
29,No,No,615.70428,39376.395
30,No,Yes,1119.56935,16556.07
31,No,No,494.81623,54384.783
32,No,Yes,448.88066,15799.47
33,No,Yes,584.90489,22429.935
34,No,No,913.58717,46907.225
35,No,Yes,1423.93892,22634.488
36,No,Yes,1499.72466,13190.653
37,No,No,692.03417,47806.612
38,No,No,351.45347,35087.489
39,No,No,742.62762,37864.824
40,No,No,653.1184,39489.595
41,No,No,872.13868,41787.567
42,No,No,837.26262,51471.772
43,No,No,1151.63057,42917.47
44,No,Yes,220.55561,16872.948
45,No,Yes,1690.23441,19052.572
46,No,No,408.77291,54206.939
47,No,No,1238.61032,50066.681
48,No,No,1228.30835,37408.504
49,No,No,820.9192,47746.542
50,No,No,857.48512,31688.346
51,No,No,563.61818,42641.253
52,No,Yes,1282.97253,13120.636
53,No,Yes,1505.78267,26557.141
54,No,Yes,904.04026,16882.301
55,No,No,0,49956.581
56,No,Yes,1294.49735,10464.321
57,No,Yes,1275.55063,15887.468
58,No,No,1536.5946,48766.907
59,No,No,1332.52264,39143.137
60,No,No,492.07977,33379.095
61,No,No,766.23438,46478.294
62,No,No,690.12725,63432.984
63,No,No,0,32481.54
64,No,No,1480.65531,36866.157
65,No,No,989.0556,45344.251
66,No,No,1302.34184,33695.426
67,No,No,1044.55234,54696.766
68,No,No,0,43658.228
69,No,No,866.02844,38363.422
70,No,No,690.80079,48140.471
71,No,No,597.75714,31577.615
72,No,No,429.4854,51311.218
73,No,No,1398.1562,39644.942
74,No,Yes,1578.0641,19886.494
75,No,No,857.06905,26655.689
76,No,Yes,752.45995,16211.276
77,No,Yes,774.73843,15193.733
78,No,No,728.37325,45131.718
79,No,No,76.99129,28392.093
80,No,No,196.45691,41346.786
81,No,Yes,948.74792,14297.619
82,No,No,431.92089,39369.882
83,No,No,461.63818,46221.211
84,No,No,572.01576,33046.313
85,No,No,335.56814,51258.444
86,No,No,510.23759,60397.719
87,No,Yes,1005.16131,24038.652
88,No,Yes,162.45445,13241.752
89,No,No,932.53316,50537.466
90,No,Yes,893.33047,11905.682
91,No,No,1332.78256,44495.163
92,No,No,1404.38307,35043.106
93,No,Yes,1148.96514,16578.192
94,No,No,368.22343,57596.826
95,No,No,449.46663,45950.667
96,No,No,820.01711,51584.657
97,No,Yes,619.75187,15750.622
98,No,No,1047.71812,46416.971
99,No,No,243.84133,47193.888
100,No,No,186.50039,45430.55
101,No,No,1422.01849,38224.032
102,No,No,383.79866,61425.286
103,No,No,1159.4351,45802.105
104,No,No,882.99191,17181.738
105,No,No,1463.23289,65457.854
106,No,Yes,1722.35585,19311.423
107,No,Yes,773.92186,14558.912
108,No,No,958.16942,32816.285
109,No,No,1207.53273,68037.575
110,No,No,1056.61083,30546.601
111,No,No,117.64248,46550.267
112,No,No,596.96412,58088.36
113,No,No,0,47729.626
114,No,Yes,541.66276,16335.703
115,No,No,1119.1783,45020.019
116,No,Yes,810.32094,20498.666
117,No,No,271.55144,32850.12
118,No,No,1114.40324,47714.022
119,No,No,867.03083,33540.98
120,No,Yes,1176.7894,17632.712
121,No,No,610.22782,42465.363
122,No,No,272.61566,55449.339
123,No,No,449.73509,49643.426
124,No,Yes,827.76721,10673.526
125,No,No,430.0001,33925.22
126,No,No,0,31825.765
127,No,Yes,1557.34464,18404.594
128,No,No,928.23697,33722.159
129,No,No,1373.45016,49101.798
130,No,Yes,951.07291,18601.533
131,No,Yes,1292.21087,23065.851
132,No,No,582.1887,24760.796
133,No,Yes,339.42464,19307.98
134,No,No,409.98232,44641.09
135,No,No,1216.45151,53639.847
136,No,No,598.46139,44124.268
137,Yes,Yes,1486.99812,17854.397
138,No,No,943.79634,59976.84
139,No,No,0,49525.745
140,No,Yes,996.27609,20883.241
141,No,Yes,748.30134,11248.671
142,No,No,324.73792,15411.519
143,No,Yes,575.38216,16005.681
144,No,No,441.73828,36012.236
145,No,No,1188.64218,39526.561
146,No,No,95.14768,51371.2
147,No,No,1015.61484,43218.794
148,No,No,1258.56739,44931.675
149,No,Yes,1178.24441,7750.289
150,No,No,731.53266,43956.06
151,No,No,350.08879,44455.2
152,No,No,418.84835,36901.783
153,No,No,533.22947,39393.542
154,No,No,95.29697,32359.389
155,No,Yes,1453.00593,15933.002
156,No,No,352.64441,39404.744
157,No,Yes,736.23894,14107.994
158,No,No,1306.48457,41224.625
159,No,No,1149.14563,45194.795
